top - 02:00:03 up 12:32,  0 users,  load average: 0.71, 1.16, 0.80
Tasks:  79 total,   3 running,  50 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.4 us,  3.1 sy,  0.0 ni, 89.2 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :   378884 total,    30436 free,    38152 used,   310296 buff/cache
KiB Swap:   102396 total,   102396 free,        0 used.   267016 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
17949 root      20   0   10292   6640   4760 R 30.3  1.8   0:00.41 python3
17951 root      20   0   10292   6804   4924 R 30.3  1.8   0:00.40 python3
17976 root      20   0    8108   3060   2660 R 15.2  0.8   0:00.14 top
17963 root      20   0   11512   5512   4820 S  9.1  1.5   0:00.19 sshd
    1 root      20   0    9712   6140   4984 S  0.0  1.6   4:28.53 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.04 kthreadd
    4 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kworker/0:0H
    6 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 mm_percpu_wq
    7 root      20   0       0      0      0 S  0.0  0.0   0:40.43 ksoftirqd/0
    8 root      20   0       0      0      0 S  0.0  0.0   0:00.01 kdevtmpfs
    9 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 netns
   11 root      20   0       0      0      0 S  0.0  0.0   0:00.03 khungtaskd
   12 root      20   0       0      0      0 S  0.0  0.0   0:00.00 oom_reaper
   13 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 writeback
   14 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kcompactd0
   15 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 crypto
   16 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kblockd
   17 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 watchdogd
   18 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 rpciod
   19 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 xprtiod
   22 root      20   0       0      0      0 S  0.0  0.0   0:01.48 kswapd0
   23 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 nfsiod
   33 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kthrotld
   34 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 iscsi_eh
   35 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 dwc_otg
   36 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 DWC Notific+
   37 root       1 -19       0      0      0 S  0.0  0.0   0:00.81 vchiq-slot/0
   38 root       1 -19       0      0      0 S  0.0  0.0   0:00.01 vchiq-recy/0
   39 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 vchiq-sync/0
   40 root      20   0       0      0      0 S  0.0  0.0   0:00.00 vchiq-keep/0
   41 root      10 -10       0      0      0 S  0.0  0.0   0:00.00 SMIO
   45 root      20   0       0      0      0 S  0.0  0.0   0:06.51 mmcqd/0
   46 root      20   0       0      0      0 S  0.0  0.0   0:01.50 jbd2/mmcblk+
   47 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ext4-rsv-co+
   48 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ipv6_addrco+
   65 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kworker/0:1H
   73 root      20   0   27972   6080   5664 S  0.0  1.6   3:47.98 systemd-jou+
  100 root      20   0   14548   3096   2472 S  0.0  0.8   0:00.98 systemd-ude+
